ID,name,age,sex,breed,color,coat,size,neutered,likes_children
23784,NaN,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",striped,short,medium,no,NaN
23789,NaN,0.33,male,Unknown Mix,black,short,small,no,NaN
4490,Bowen,1.0,male,Unknown Mix,brown,medium,large,NaN,NaN
4485,Panna,0.15,female,Staffordshire Terrier Mix,striped,short,medium,NaN,NaN
1795,Szolnoki Joker,1.0,male,Fox Terrier Mix,black and white,wirehaired,small,yes,yes
1797,Satoraljaujhelyi Dingo,2.0,male,Unknown Mix,yellow,short,medium,no,yes
4483,Valentin,0.67,male,Unknown Mix,apricot,short,small,NaN,NaN
1796,Szolnoki Chris,1.0,male,Fox Terrier Mix,brown and white,wirehaired,small,yes,yes
23791,NaN,4.0,male,Unknown Mix,yellow-brown,medium,medium,no,NaN
23778,Pufi,8.0,male,Unknown Mix,wild boar,short,small,no,NaN
1048,Velencei Fiffi,9.25,female,Afghan Hound,brown,long,medium,yes,NaN
2138,Szalkas Kan Kolyok,0.5,male,Unknown Mix,brown,wirehaired,medium,yes,NaN
1793,Szakaldi Baro,1.42,male,Unknown Mix,brown and white,short,medium,no,yes
23777,NaN,0.25,male,Unknown Mix,black and tan,wirehaired,small,no,NaN
2137,Honapos Keverek Kan,0.5,male,Unknown Mix,tricolor,medium,medium,yes,NaN
2154,Kormi,6.5,male,Unknown Mix,black,short,medium,yes,NaN
23780,NaN,0.25,female,Unknown Mix,saddle back,medium,medium,no,NaN
1049,Velencei Shyne On,8.42,female,American Bulldog,striped,short,medium,yes,NaN
2153,Lili,3.5,female,Unknown Mix,brown,short,medium,yes,NaN
530,Beagle Keverek Kutyusok,0.17,male,Beagle Mix,black and brown,short,medium,no,yes
2136,Honapos Szuka,0.5,female,Unknown Mix,brown,short,medium,yes,NaN
531,Beagle Keverek Kutyus,0.17,female,Beagle Mix,brown and white,short,medium,no,yes
23774,NaN,1.58,male,Unknown Mix,yellow-brown,wirehaired,small,no,NaN
1794,Satoraljaujhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",brown,short,medium,no,yes
1792,Kakucsi Henrik,1.42,male,Terrier Mix,yellow-brown,medium,small,no,yes
7927,Sajoorsi Foxi Es Maxi,0.17,male,Unknown Mix,black and brown,short,small,no,NaN
2152,Elsa,2.33,female,Unknown Mix,brown,short,medium,yes,NaN
1047,Velencei Gavaller,9.17,male,Hungarian Greyhound,brown and white,short,large,yes,NaN
23776,NaN,1.58,male,Unknown Mix,yellow-brown,wirehaired,small,no,NaN
1046,Nagyhalaszi Szello,0.5,female,Greyhound Mix,yellow,short,medium,NaN,NaN
4481,Allegra,0.42,female,Unknown Mix,black and brown,short,small,NaN,NaN
1791,Dabasi Bors,1.0,male,Staffordshire Terrier Mix,brown,short,medium,no,yes
1787,Inarcsi Hektor,0.25,male,"German Shepherd Dog, Staffordshire Terrier Mix",yellow-brown,short,medium,no,yes
23757,Vlad,0.17,male,Unknown Mix,yellow-brown,short,small,no,NaN
23756,Zsomi,6.0,male,Unknown Mix,yellow-brown,short,medium,no,NaN
4482,Pongolina,0.58,female,Unknown Mix,apricot,short,medium,NaN,NaN
1041,Pola,2.0,female,"English Greyhound, Spanish Greyhound Mix",yellow,short,medium,yes,NaN
1042,Bongo,2.0,male,Greyhound Mix,black and white,short,medium,yes,NaN
4480,Lummia,0.33,female,Unknown Mix,black,short,medium,NaN,NaN
1220,King,2.92,male,Dachshund Mix,wild boar,short,medium,yes,yes
