ID,name,age,sex,breed,color,coat,size,neutered,likes_children
189,Sarika,1.25,female,Chinese Shar-Pei Mix,brown,wirehaired,medium,,
190,Ficko,11.17,male,Labrador Retriever,yellow,short,large,,
191,Tristan,0.42,male,Unknown Mix,gray and white,short,medium,,
192,Berci,12.17,male,Labrador Retriever,yellow,short,large,,
193,Lucky,12.17,male,Labrador Retriever,black,short,large,,yes
194,Janek,1.25,male,Dachshund Mix,black,short,small,,
195,Boni,11.17,male,Golden Retriever,golden,short,large,,
196,Gray,6.17,male,Labrador Retriever,yellow,short,large,,
197,Bubuka,6.17,male,Labrador Retriever,black,short,large,yes,
198,Beni,11.17,male,Labrador Retriever,yellow,short,large,,
199,Erl,8.17,male,Labrador Retriever,yellow,short,large,,
200,Talia,1.58,female,Pinscher Mix,apricot,short,small,,
201,Amarillys,0.67,male,German Shepherd Dog Mix,black and brown,short,medium,,
202,Latte,0.25,female,Unknown Mix,black,medium,medium,,
203,Ronaldo,0.33,male,Unknown Mix,apricot,short,medium,,
204,Emmi,0.92,female,Unknown Mix,black and brown,short,small,,
205,Ramona,0.33,female,Unknown Mix,apricot,short,medium,,
206,,2.17,male,Staffordshire Terrier Mix,striped,short,medium,no,
207,Kyoko,1.25,male,Akita Mix,striped,medium,large,,yes
208,Hunor,1.25,male,Unknown Mix,brown and white,short,medium,,
209,Kaposvari Romeo,0.33,male,Greyhound Mix,striped,short,medium,,yes
210,Kaposvari Julia,0.33,female,Greyhound Mix,striped,short,medium,,yes
211,Elsa,2.33,female,Unknown Mix,brown,short,medium,yes,
212,Jaki,11.17,male,Unknown Mix,red and white,medium,small,yes,
213,Tonja,0.42,male,Unknown Mix,black and white,short,small,,
214,Robi,9.17,male,German Shepherd Dog Mix,sable,medium,large,no,
215,Melange,0.25,female,Unknown Mix,brown,medium,medium,,
216,Andres,0.25,male,Unknown Mix,black,short,small,,
217,Capuccino,0.25,male,Unknown Mix,black,medium,medium,,
218,Lili,3.5,female,Unknown Mix,brown,short,large,yes,
219,Zora,1.17,female,Unknown Mix,apricot,short,medium,,
220,Siofoki Olivia,5.25,male,Jagd Terrier Mix,apricot,short,medium,,yes
221,Diana,0.67,female,Unknown Mix,black and brown,medium,small,,
222,Folti,7.33,male,Fox Terrier Mix,tricolor,wirehaired,medium,,
223,Rozi,3.25,female,Unknown Mix,saddle back,short,large,yes,yes
224,Pajti,6.92,male,Unknown Mix,tricolor,short,medium,no,
225,Esztergomi Dodo,4.33,male,English Greyhound Mix,black and white,short,large,yes,
226,Hiro,1.67,female,Fox Terrier Mix,brown and white,short,small,yes,yes
227,Kifli,11.75,female,Golden Retriever Mix,yellow-brown,short,medium,yes,yes
228,Foltos,5.17,male,Unknown Mix,black and white,short,medium,yes,
229,Bambi,0.75,female,Unknown Mix,brown,short,medium,,
230,Imrus,0.58,male,Mudi Mix,black,short,medium,,yes
231,Lili,3.5,female,Cane Corso Mix,brown,short,large,yes,
232,Suba,6.17,male,Unknown Mix,black,long,large,no,
233,Elsa,2.33,female,Unknown Mix,brown,short,medium,yes,
234,Hejobabai Gyomber,2.08,female,Poodle Mix,white,medium,small,yes,no
235,Ujhartyani Puding,1.08,female,Staffordshire Terrier Mix,yellow-brown,short,medium,yes,yes
236,Nagybajomi Boldizsar,5.92,male,Unknown Mix,yellow-brown,short,medium,yes,yes
237,Pocak,0.42,male,Unknown Mix,black,short,medium,,
238,Huba,0.5,male,Unknown Mix,brown,short,medium,,yes
239,Gyomroi Barbi,1.5,female,Hungarian Greyhound Mix,spotty,short,medium,yes,yes
240,Argo,2.42,male,German Dog,black,short,large,yes,yes
241,Anna,0.42,female,Unknown Mix,black,short,medium,,
242,Miskolci Minerva,1.67,female,German Shepherd Dog Mix,brown,short,medium,yes,yes
243,Peter Parker,3.67,male,German Dog,black,short,large,yes,
244,Oliver,2.33,male,Unknown Mix,apricot,short,medium,,
245,Myles,1.0,male,Bulldog Mix,black and white,short,small,,
246,Borzi,17.58,male,Unknown Mix,black and tan,short,small,yes,
247,Momi,8.5,female,German Dog,gray,short,large,yes,yes
248,Lili,3.5,female,Cane Corso Mix,brown,short,large,yes,
249,Fitos,0.92,male,Unknown Mix,black and tan,short,medium,,yes
250,Datolya,1.75,female,German Shepherd Dog Mix,apricot,medium,medium,yes,yes
251,Gubanc,2.0,female,Unknown Mix,saddle back,medium,medium,yes,yes
252,Marci Papa,12.67,male,German Pointer,brown and white,wirehaired,medium,yes,yes
253,,10.25,male,German Shepherd Dog Mix,saddle back,medium,large,no,
254,,1.25,male,Unknown Mix,black and tan,wirehaired,medium,no,
255,Farsang,0.92,male,Unknown Mix,black,short,medium,,yes
256,Miske,2.25,male,Unknown Mix,black and tan,medium,small,no,yes
257,Vulpex,3.5,male,Unknown Mix,brown and white,short,medium,yes,yes
258,Elias,9.92,male,Border Collie Mix,black and white,medium,medium,yes,no
259,Oregnene,11.42,female,Unknown Mix,brown and white,medium,small,yes,yes
260,Pinocchio,4.08,male,Unknown Mix,white,short,medium,yes,yes
261,Tamara,5.67,female,Unknown Mix,saddle back,short,small,yes,yes
262,Zsiraf,0.58,male,Unknown Mix,spotty,short,medium,yes,
263,Kunhegyesi Frodo,0.92,male,"Greyhound, Labrador Retriever Mix",black,short,medium,yes,yes
264,Tibi,10.0,male,Dachshund Mix,white,short,small,no,
265,Todor,4.25,male,Dachshund Mix,gray and black,wirehaired,small,yes,yes
266,Caramell,0.92,male,Unknown Mix,apricot,short,small,,
267,Mia,1.58,female,Unknown Mix,striped,short,medium,yes,yes
268,,2.83,male,Unknown Mix,yellow-brown,short,medium,no,
269,Folti_,3.0,male,"Dachshund, Fox Terrier Mix",brown and white,short,small,yes,
270,Alma,9.92,female,Unknown Mix,tricolor,short,medium,yes,yes
271,Nagyatadi Palko,0.67,male,Greyhound Mix,black,short,small,yes,yes
272,Kunhegyesi Zserbo,3.33,female,Dachshund Mix,brown,short,small,yes,yes
273,Dugo,9.17,male,Pinscher Mix,tricolor,short,small,yes,yes
274,Selli,8.42,female,Labrador Retriever Mix,black,short,large,yes,yes
275,Bobo,4.17,male,Unknown Mix,black,short,medium,yes,yes
276,Mano,5.75,female,Chihuahua Mix,tricolor,short,small,yes,yes
277,Fules,7.25,female,Unknown Mix,golden,short,medium,yes,yes
278,Suba,2.17,male,"Chinese Shar-Pei, Dachshund, Fox Terrier Mix",yellow-brown,wirehaired,small,,yes
279,Dome,8.42,male,Labrador Retriever Mix,black,short,large,yes,yes
280,Jeraldino,0.75,male,Unknown Mix,black,short,small,,
281,Dodo,2.58,male,Unknown Mix,red,medium,medium,,yes
